INFO  - 2017-09-02 20:27:50.515; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/alice727/Solr/solr-4.10.4/contrib/velocity/lib/velocity-tools-2.0.jar' to classloader
INFO  - 2017-09-02 20:27:50.516; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/alice727/Solr/solr-4.10.4/contrib/velocity/lib/velocity-1.7.jar' to classloader
INFO  - 2017-09-02 20:27:50.516; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/alice727/Solr/solr-4.10.4/contrib/velocity/lib/commons-beanutils-1.8.3.jar' to classloader
INFO  - 2017-09-02 20:27:50.516; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/alice727/Solr/solr-4.10.4/contrib/velocity/lib/commons-collections-3.2.1.jar' to classloader
INFO  - 2017-09-02 20:27:50.516; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/alice727/Solr/solr-4.10.4/dist/solr-velocity-4.10.4.jar' to classloader
INFO  - 2017-09-02 20:28:04.665; org.apache.solr.update.SolrIndexConfig; IndexWriter infoStream solr logging is enabled
INFO  - 2017-09-02 20:28:04.681; org.apache.solr.core.SolrConfig; Using Lucene MatchVersion: 4.10.4
INFO  - 2017-09-02 20:28:05.875; org.apache.solr.core.SolrConfig; Loaded SolrConfig: solrconfig.xml
INFO  - 2017-09-02 20:28:05.884; org.apache.solr.schema.IndexSchema; Reading Solr Schema from /home/alice727/Solr/solr-4.10.4/example/solr/collection1/conf/schema.xml
INFO  - 2017-09-02 20:28:06.165; org.apache.solr.schema.IndexSchema; [collection1] Schema name=example
INFO  - 2017-09-02 20:28:12.918; org.apache.solr.schema.IndexSchema; unique key field: id
INFO  - 2017-09-02 20:28:13.201; org.apache.solr.rest.RestManager$Registry; Registered ManagedResource impl org.apache.solr.rest.schema.analysis.ManagedWordSetResource for path /schema/analysis/stopwords/english
INFO  - 2017-09-02 20:28:13.206; org.apache.solr.rest.RestManager$Registry; Registered ManagedResource impl org.apache.solr.rest.schema.analysis.ManagedSynonymFilterFactory$SynonymManager for path /schema/analysis/synonyms/english
INFO  - 2017-09-02 20:28:13.685; org.apache.solr.schema.FileExchangeRateProvider; Reloading exchange rates from file currency.xml
INFO  - 2017-09-02 20:28:13.791; org.apache.solr.schema.FileExchangeRateProvider; Reloading exchange rates from file currency.xml
INFO  - 2017-09-02 20:28:14.643; org.apache.solr.core.CoreContainer; Creating SolrCore 'collection1' using configuration from instancedir /home/alice727/Solr/solr-4.10.4/example/solr/collection1/
INFO  - 2017-09-02 20:28:14.737; org.apache.solr.core.SolrCore; solr.NRTCachingDirectoryFactory
INFO  - 2017-09-02 20:28:14.744; org.apache.solr.core.SolrCore; [collection1] Opening new SolrCore at /home/alice727/Solr/solr-4.10.4/example/solr/collection1/, dataDir=/home/alice727/Solr/solr-4.10.4/example/solr/collection1/data/
INFO  - 2017-09-02 20:28:14.864; org.apache.solr.core.JmxMonitoredMap; No JMX servers found, not exposing Solr information with JMX.
INFO  - 2017-09-02 20:28:14.876; org.apache.solr.core.SolrCore; [collection1] Added SolrEventListener for newSearcher: org.apache.solr.core.QuerySenderListener{queries=[]}
INFO  - 2017-09-02 20:28:14.877; org.apache.solr.core.SolrCore; [collection1] Added SolrEventListener for firstSearcher: org.apache.solr.core.QuerySenderListener{queries=[{q=static firstSearcher warming in solrconfig.xml}]}
INFO  - 2017-09-02 20:28:15.091; org.apache.solr.core.CachingDirectoryFactory; return new directory for /home/alice727/Solr/solr-4.10.4/example/solr/collection1/data
INFO  - 2017-09-02 20:28:15.111; org.apache.solr.core.SolrCore; New index directory detected: old=null new=/home/alice727/Solr/solr-4.10.4/example/solr/collection1/data/index/
WARN  - 2017-09-02 20:28:15.113; org.apache.solr.core.SolrCore; [collection1] Solr index directory '/home/alice727/Solr/solr-4.10.4/example/solr/collection1/data/index' doesn't exist. Creating new index...
INFO  - 2017-09-02 20:28:15.137; org.apache.solr.core.CachingDirectoryFactory; return new directory for /home/alice727/Solr/solr-4.10.4/example/solr/collection1/data/index
INFO  - 2017-09-02 20:28:15.478; org.apache.solr.core.SolrDeletionPolicy; SolrDeletionPolicy.onCommit: commits: num=1
	commit{dir=NRTCachingDirectory(MMapDirectory@/home/alice727/Solr/solr-4.10.4/example/solr/collection1/data/index lockFactory=NativeFSLockFactory@/home/alice727/Solr/solr-4.10.4/example/solr/collection1/data/index; maxCacheMB=48.0 maxMergeSizeMB=4.0),segFN=segments_1,generation=1}
INFO  - 2017-09-02 20:28:15.479; org.apache.solr.core.SolrDeletionPolicy; newest commit generation = 1
INFO  - 2017-09-02 20:28:15.485; org.apache.solr.core.SolrCore; created json: solr.JSONResponseWriter
INFO  - 2017-09-02 20:28:15.493; org.apache.solr.core.SolrCore; adding lazy queryResponseWriter: solr.VelocityResponseWriter
INFO  - 2017-09-02 20:28:15.494; org.apache.solr.core.SolrCore; created velocity: solr.VelocityResponseWriter
INFO  - 2017-09-02 20:28:15.496; org.apache.solr.core.SolrCore; created xslt: solr.XSLTResponseWriter
INFO  - 2017-09-02 20:28:15.496; org.apache.solr.response.XSLTResponseWriter; xsltCacheLifetimeSeconds=5
INFO  - 2017-09-02 20:28:15.657; org.apache.solr.core.SolrCore; no updateRequestProcessorChain defined as default, creating implicit default
INFO  - 2017-09-02 20:28:15.676; org.apache.solr.core.RequestHandlers; created /update: org.apache.solr.handler.UpdateRequestHandler
INFO  - 2017-09-02 20:28:15.677; org.apache.solr.core.RequestHandlers; created /update/json: org.apache.solr.handler.UpdateRequestHandler
INFO  - 2017-09-02 20:28:15.677; org.apache.solr.core.RequestHandlers; created /update/csv: org.apache.solr.handler.UpdateRequestHandler
INFO  - 2017-09-02 20:28:15.677; org.apache.solr.core.RequestHandlers; created /update/json/docs: org.apache.solr.handler.UpdateRequestHandler
INFO  - 2017-09-02 20:28:15.685; org.apache.solr.core.RequestHandlers; created /select: solr.SearchHandler
